"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
50294.2,43643.9,119728,9977.77,8904.35,70341.2,-61.2654,7123.17,328.819,81.3999,4548.85,596.963,403.208,6209.53,194.504,68.4993,161.472,1050.14,28.2884,233.399,-12.3031,-50.4533,0.0951455
62944.9,50514.6,127202,16959.3,14209.8,82666.5,128.665,18204.7,-109.491,275.702,10091.4,1008.19,214.48,6983.83,219.649,54.986,109.817,319.762,115.226,10.2483,43.1931,-69.7844,0.128657
50737.8,43181.1,120529,9711.96,8575.63,69518.8,-53.7151,5224.97,192.178,79.8661,5150.33,558.118,758.09,6158.94,175.057,112.762,67.563,1413.67,12.4303,-91.562,-31.2299,789.771,0.139105
55745.6,46250.7,120793,14029.9,12349.7,76383.9,-115.765,7303.98,-109.237,400.596,5801.41,1077.17,573.956,8521.44,2615.31,95.0518,426.318,9396.29,175.169,77.3129,59.4871,859.29,0.183903
49732.1,39209.5,123551,13226.7,11043.4,78692.7,3.33,10289.5,236.754,139.557,589.895,923.748,279.38,4390.67,213.026,155.804,123.396,541.516,76.5569,21.3655,361.849,-425.993,0.191669
85745,68335.5,128535,20191,17418.9,82840.7,36.4934,20459.7,348.6,572.564,3125.15,1059.49,421.963,13467.9,238.049,121.459,166.809,4956.12,140.707,-126.448,25.3771,4322.2,0.29513
49947,42343.6,117807,11217.9,9915.42,72938.5,2.13279,13385.8,13.7548,193.11,3112.14,771.179,438.791,8846.15,194.562,70.2765,90.8043,4469.33,10.5581,76.8515,-56.101,-329.421,0.314419
78369,64023.7,128184,16665.1,14038.4,81506.6,-248.54,2710.02,3347.36,383.309,449.65,2607.61,695.981,224.6,352.284,257.932,355.964,4510.88,113.271,-62.4089,941.018,-39.9476,0.335808
59410.1,50452.9,120519,10760.5,9448.56,71634,-247.24,10347.3,82.8952,66.2646,2213.77,823.08,6107.94,10155.2,176.84,96.292,147.05,3217.31,32.2172,28.7508,278.134,142.461,0.376367
44897.5,37360.6,117010,11094.8,9614.06,72959.2,-134.317,6084.82,10.1582,507.885,363.375,12126.6,648.893,1105.99,162.356,63.0361,233.222,3190.69,165.872,9378.7,474.901,125.175,0.4017
59597.9,47149.2,125239,13258.5,11151.5,79204.5,-60.0322,4884.48,1666.5,278.157,1502.31,1486.72,192.351,3065.38,148.661,48.7107,146,2640.45,84.0969,699.737,84.907,-113.363,0.484668
63377.4,50229.3,125401,13467.2,11400.6,79278.6,-131.62,13120.4,279.943,159.042,3659.13,1161.31,1231.16,11729,330.304,99.7436,100.503,2046.09,78.1599,-52.5843,355.834,5065.64,0.554965
51161.2,43249.8,120939,9558.65,8521.71,69632,13.2601,6176.19,-144.144,149.465,3764.31,655.982,414.952,6423.56,70.6288,108.569,163.741,1317.91,18.7266,458.578,269.236,484.702,0.61101
52253.1,41594,122185,11211.5,9718.85,73675.9,153.392,17033.6,512.071,100.7,4358.73,681.804,171.249,11634.7,148.365,77.4394,-35.3933,2184.6,60.9702,209.241,124.274,1.15094,0.619244
88403.9,70647.8,128607,19141.9,16140,83672.9,54.0987,17063.8,114.561,218.082,523.076,1509.68,488.089,5836.48,399.408,192.921,179.528,2365.12,126.443,1410.69,260.169,26.5887,0.619908
