"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
58702.5,49545.8,123852,12555.2,10867.3,79036.5,26.4535,4887.84,24.8116,-121.562,7039.25,564.739,906.895,6090.06,140.16,54.8771,144.675,754.66,19.4848,-176.591,179.491,271.043,0.00283828
62830.9,50930.4,126237,14437.8,12648,80022.3,210.364,11003.2,-26.522,-180.246,1240.04,692.964,135.78,6694.86,263.946,128.029,88.8821,343.439,80.2808,-183.328,316.475,-191.188,0.00590982
48208.6,40563.3,117246,11974.1,10844.6,74123.5,-65.2799,3255.49,60.4787,0.059598,7173.67,555.867,709.643,4844.7,106.506,84.2405,29.931,213.434,64.7101,230.967,-98.638,-31.4506,0.00696402
68467.3,57864.4,125202,12354.2,10941.2,76875.7,66.2993,7118.84,-21.2482,212.58,2041.16,766.178,317.119,9159.92,123.407,66.2771,115.21,1266.94,36.9566,-54.7666,67.3325,47.946,0.00882167
61407.7,54258.1,120038,10852.1,10123.7,71855.4,54.5023,3630.45,70.3718,39.6458,3079.68,586.693,341.913,10314.4,79.5187,106.72,116.773,476.983,53.0674,-17.0434,135.127,2363.8,0.0136451
67442.9,55673.2,125431,12579.6,11149.3,76694.5,152.323,7119.84,-36.4676,64.0488,719.507,758.721,316.181,9146.03,162.662,55.9469,88.4483,1139.24,94.442,-156.746,61.7012,140.821,0.0158348
54128.4,45246.4,120275,11914,10689,73677.2,182.148,9618.49,154.763,372.483,2789.94,530.009,2114.65,10120.6,112.473,95.0169,38.3514,477.979,38.9681,-58.6303,75.1691,175.77,0.0158544
42251,37938.6,114846,8775.38,8272.09,67309.6,40.9341,3402.68,83.162,65.7558,612.642,281.561,367.476,9539.43,98.8885,-22.8395,18.6531,2719.17,56.8778,-109.393,158.874,478.178,0.0164657
67794.3,61540.4,120499,9644.67,9023.19,69668.5,55.2864,4771.37,70.2391,32.1777,2898.71,495.302,128.221,5109.71,172.943,-12.4688,48.2052,118.161,20.7704,-97.0218,255.233,322.448,0.0169049
45948.2,38125.6,117624,12717.2,11606.1,75889.2,115.318,15519.5,64.2189,79.8626,2491.12,692.068,362.677,6705.18,150.022,45.2812,104.958,1409.43,29.3507,-38.4365,2.26979,-131.325,0.0191418
50913.8,45145.8,118300,9680.19,8887.29,69709,-0.304738,3714.11,-146.708,193.871,3143.13,509.184,214.146,3901.08,45.0866,78.2106,90.8216,1007.65,40.806,-29.9103,47.4671,281.468,0.0227969
73823.6,61646.5,125245,13411.6,11807.4,77204.7,21.5741,4206.27,-90.5276,12.8107,1186.4,1135.79,258.661,4775.72,265.648,77.9108,104.841,812.594,78.2171,91.8524,206.015,85.0243,0.0283597
55068.4,49210.1,121081,9240.69,8504.93,69469.1,-19.2668,5337.04,-5.92254,9.68889,4116.69,559.213,358.602,5494.61,-15.2238,-8.14904,22.5467,324.995,-17.9117,-154.297,312.504,76.6877,0.0287573
82660,65755.9,131545,17211.4,14943.3,83292.5,-57.8097,3001.76,809.706,-77.4998,166.382,1767.22,1330.04,334.176,218.053,40.3567,205.013,4751.27,81.7679,-2.82227,-31.84,31.3927,0.0316268
34076.7,29969.1,110343,17626.5,14052.1,85211.8,-68.7276,2162.53,-14.9161,94.4665,3372.39,691.28,92.8462,7185.56,225.971,85.924,122.946,356.162,16.2925,-0.621767,69.7063,152.309,0.0373749
55139.8,47098.8,120076,11399.9,10407.6,74240.6,-192.486,5189.84,81.3298,62.1737,2872.15,762.914,2547.14,5435.53,212.457,18.1192,133.062,251.606,23.8283,-80.7013,33.1107,29.4132,0.0378829
70159.8,57301.1,125266,18155.6,16147,81965,-77.5921,11193.9,-42.6697,133.579,1829.37,521.424,1859.08,6548.72,189.305,74.5512,121.561,427.394,50.8099,-0.0395648,101.745,246.777,0.0379681
48590.8,42117.7,118619,12037,10340.9,78146,-142.622,3041.34,196.296,82.7859,285.633,10616.1,550.654,487.447,134.133,55.4118,105.686,2954.07,83.3851,2247.29,121.9,19.3575,0.0437809
82502.5,64782.5,134281,26115.6,22716.2,89540.3,14.9124,4358.1,-31.2498,142.285,957.253,1162.27,215.079,5334.19,260.899,63.0371,207.059,1065.46,68.3407,-151.643,293.553,110.043,0.0464443
54519.7,46432.6,121413,10937.1,9836.03,73429.7,101.784,13423.4,74.2664,79.2895,2205.94,496.649,592.736,6922.8,216.81,83.3339,1.76555,394.023,32.8204,-66.1375,-92.2247,1475.29,0.0490476
