"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
14707,14155,90686.8,17843.7,17770.4,75363,-19.0892,1252.21,7017.52,1056.39,237.195,2739.63,312.487,1061.23,939.663,998.092,16.384,1920.06,48.2844,3068.93,808.222,2320.06,0.00457344
14623.8,14011.7,90316.9,17855.4,17910.5,73754.9,-22.2975,1327.99,7816.27,1050.9,305.457,2973.86,369.367,1201.56,857.323,986.597,-3.79198,2172.3,0.870936,3061.04,825.008,2181.92,0.00702121
14730.4,14090.1,89682.2,17174.5,17001.7,73892.2,96.0753,1229.33,6367.43,1091.35,322.232,2831.98,226.526,1318.45,901.168,917.015,24.8178,1621.54,77.8177,2541.38,869.973,2151.7,0.0120105
14290.3,13732.2,88123.9,16866.9,16699.9,75552.1,50.4667,1049.04,5832.11,1202.75,270.79,2926.13,-35.9109,1244.7,773.342,897.298,14.9858,1625.16,54.9593,2285.5,893.506,1917.84,0.0153488
14784.2,14156.8,92635.6,17001.6,16770.5,75951.5,-30.3271,1043.3,6379.71,1078.2,294.522,3288.87,286.766,1471.88,966.416,1008.9,121.23,1456.85,61.3776,2080.24,774.137,1459.04,0.0168233
14288.7,13567.6,90337.4,17648.7,17377.3,76284,-94.1179,1362.41,7621.11,1124.46,240.661,2817.38,439.215,1140.16,1056.61,1000.24,-9.51128,2160.67,1.06025,3074.14,868.302,2219.15,0.0230236
14239.4,13714.1,90259.9,17226.1,17232.9,74329.2,-107.65,1269.91,5991.09,913.571,284.346,3196.26,475.85,1658.8,795.828,992.279,-17.7375,1663.15,53.7929,3005.16,529.974,2215.38,0.0244327
14776.9,14081,91462.4,17879.9,17728.2,75581.2,-82.0939,1554.34,7245.41,870.29,336.499,3156.96,364.604,1403.47,876.253,1025.24,12.8584,2133.96,47.1203,2885.06,972.115,2245.16,0.028087
14117.6,13399.3,87595.6,16867.5,16816.5,76036.5,-3.58216,1227.17,6534.03,786.929,266.974,3017.01,420.538,1323.72,972.183,972.666,47.597,1767.91,51.4281,2624.21,873.407,2068.13,0.0319589
13864,13310,90529.9,16528.6,16300.4,75499.7,-102.299,1084.03,6540.29,1179.33,289.246,2538.12,457.219,1071.84,840.495,855.167,5.48999,1623.26,51.0147,2589.44,467.679,1847.76,0.0420381
