"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
14352.5,13448.3,89768.4,17029.3,16342.6,75574.7,-55.4138,1379.11,6815.16,1235.27,466.57,3909.59,605.716,1758.23,1253.36,1672.32,154.133,1629.76,124.249,2011.58,760.992,1606.9,0.00111081
15454.9,14449.2,90880.3,18440.3,17665.2,77507.6,-40.9429,1311.6,6550.66,1031.65,364.989,3172.69,349.447,1738.56,833.774,1067.52,64.0078,2054.68,22.4032,2268.25,778.607,1704.22,0.00403324
14459.4,13663.2,90898.2,17417.6,16844.3,76001.9,-33.6004,1476.42,7541.5,1095.16,385.41,3391.54,200.53,1792.82,967.245,1157.92,19.1379,2159.1,84.1892,2443.34,678.176,1714.59,0.007243
14231.4,13414.2,90730.3,17414.3,16881.7,74945.4,0.11583,1178.77,6786.19,950.042,226.173,3449.94,492.301,1522.68,838.041,1127.98,49.6203,2061.94,71.9442,2616.42,810.958,1647.96,0.00780579
14504.5,13664.5,91009.5,16954.8,16373.7,74290.3,-129.13,1372.56,7361.44,935.6,355.963,3410.03,339.4,1228.67,1096.53,1196.27,135.783,2035.29,126.973,2445.17,904.457,1732.68,0.00792332
15441.9,14408.2,90699.4,18121.1,17460.7,75615.9,-28.9045,1514.24,6726.9,1100.8,226.002,3068.94,162.542,1209.41,961.486,1112.28,118.28,1882.79,37.269,2572.64,586.989,1486.88,0.00896462
15131.3,14190.7,91821.8,18229.4,17591.4,75438.8,-73.4054,1222.33,6766.02,1185.53,321.322,3122.91,381.334,1427.42,1010.97,1057.8,127.947,1778.46,61.066,2429.52,490.645,1562.26,0.0115458
14383.2,13517.7,88092.3,16367.4,15941.6,74441.2,-138.384,1342.7,6673.58,1183.19,321.627,3156.2,410.229,1229.88,1154.27,1113.45,134.54,1887.78,76.668,2404.25,637.393,1631.43,0.0134211
15189.9,14259.3,90872,18083.4,17389.8,75968.5,-51.1504,1461.32,7138.78,1211.76,368.89,3473.63,318.716,1720.16,1125.85,1142.17,87.6911,2341.7,107.106,2480.88,798.63,1714.2,0.0155049
15654.7,14748.9,90494.3,18374.5,17739.2,75916.1,-2.98548,1300.64,6452.08,1222.32,325.516,3282.9,259.288,1344.05,957.522,1144.19,22.7102,2058.38,76.717,2343,701.67,1991.02,0.0160653
15082.2,14018.5,90227.9,18033.7,17266.2,77301.8,-164.852,1087.87,6305.82,1052.39,304.766,3168.21,672.551,1256.93,1150.88,1095.85,-69.5557,1420.36,31.7903,2235.25,311.66,1917.61,0.0162197
14728.9,13856.8,90384.5,17413.1,16838.2,76184,22.0544,1167.5,6740.78,1017.27,334.227,2952.75,258.364,1486.16,886.98,1156.55,41.935,1884.01,31.7676,2177.67,815.981,1601.36,0.0194931
