"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
58734.1,49081.8,126534,11638,10080.4,76592.8,109.179,12785.5,174.982,506.344,3135.65,1122.36,33292.7,7183.45,276.476,1780.59,202.01,2331.96,110.959,-297.825,39.873,535.84,1.34083
63678.1,54738.3,124763,11586.9,10197.4,75438,131.379,25541.7,115.818,167.872,7698.73,1336.69,243.426,7071.34,195.551,160.501,66.5623,1029.43,82.4505,-107.655,782.073,77.7221,2.47658
37576.1,32769.5,115153,9889.66,8677.89,73060.5,155.686,3285.06,-28.3033,182.182,10064.4,282.851,1146.43,5369.72,88.1916,19.6944,64.7857,1033.77,67.1118,42.4649,355.019,411.661,3.15097
57720.3,50831.5,122568,10326.1,9162.79,72863.6,-11.6002,15601.8,78.267,227.259,10123.3,700.136,398.514,6328.95,668.651,24.9574,125.061,5210.44,56.1353,-37.7375,1474.1,41.17,4.35173
59724.9,49196.2,127318,14127.1,12060.3,80327.5,3339.15,7098.98,964.475,735.32,2019.01,915.225,83944.3,1754.03,231.543,681.061,204.766,1115.86,74.0104,-400.386,223.649,643.408,5.22068
51876.2,43864.6,122138,10140.5,8848.8,73865.3,63.0125,14605.3,134.3,171.424,6319.06,570.92,1240.37,4370.35,122.566,-62.4646,75.4941,1520.95,57.7356,-25.4389,-96.2516,-78.6911,5.91414
75814.7,63369.9,130943,16452.2,14268.2,82999.9,2363.7,9196.22,197.992,194.026,16614.7,1276.83,1553.52,5704.23,194.981,180.75,152.103,2336.66,65.143,-9.16626,164.855,-16.4916,6.49642
50328.8,44206.5,122194,10678.6,9468.66,74226.9,56.9359,10173.9,-85.3156,130.784,7508.63,711.837,636.687,4753.37,67.6163,83.9158,168.126,3179.1,68.2252,-6.55366,125.161,375.627,8.07097
53495.8,47568.3,120431,10986,9717,74353.4,-33.4018,12977.7,160.194,312.921,7812.16,582.209,333.439,8296.64,7.60428,95.262,-4.5853,2385.15,87.3865,20.38,1.08546,-246.335,10.6224
35694.3,31187.4,112435,10016.1,8900.92,73560,-18.2426,6455.47,27.7732,133.408,7895.19,465.818,1179,1104.87,182.056,54.7354,-2.72047,564.665,45.8649,164.303,16.8541,-128.734,11.4936
