FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD8-APC,CD7-APCH7,HLADR-AF700,CD11-PerCPCy55,CD38-BUV395,CD34-BUV563,CD4-BUV661,CD5-BUV737,CD15-BV421,CD3-BV480,Live_Dead Yellow,CD44-BV786,GFP,CD13-PE,CD33-PECF594,CD1a-PECy7,Time
38575.1,38344.6,104623,22137.9,19825.3,84172.8,9.34196,31.7474,-4.6809,45.7161,-38.9975,77.5289,-19.8737,22.0534,7161.003,55.7969,62.4071,-1.50668,5616.9,6978.3879,7037.5119,-16.5451,0.0365069
28336.9,27103.6,100493,13685.1,12352.3,75985.5,19.9199,-20.835,-6.70797,31.85,-23.7135,-35.2817,7.44204,-22.9023,7053.8412,-26.0763,3.80246,-19.1556,3474.44,7052.6392,6987.9484,11.7922,0.0387902
27329.4,26415.7,100240,21901.7,20629.2,79034.8,34.0306,7.51837,-7.25982,54.5837,-4.64252,95.8562,9.96799,-18.9489,7087.7224,50.5755,-22.6717,28.0758,2596.36,7009.92814,7040.6277,19.3817,0.0414792
41313,38533.1,110066,7918.8,7600.89,63972.5,-31.4747,0.471777,15.9806,-14.5816,2.87451,59.688,25.5294,-30.2056,6983.1892,39.6563,25.0217,-0.719738,5034.42,6979.6645,6965.4844,-19.2394,0.0428793
41887,39078.1,109692,8009.21,7709.11,62416.8,-12.5552,-5.31658,1.55933,-2.82926,5.80337,194.762,21.6317,8.09568,7031.1369,-20.5639,52.7302,16.8331,3870.97,6966.1435,6963.6051,9.5615,0.0478252
20266.1,18881.7,94688.5,13876.1,13502.1,71567.9,61.1765,-0.0751868,-15.0492,-15.9218,-113.305,-234.873,-97.8319,-19.8621,6962.8334,-45.1253,7.90273,-12.8968,15148.8,7005.05535,6972.9565,7.43226,0.0614253
43089.8,41652.2,110297,19151.1,17075.8,85501.5,34.1993,-9.03071,9.61999,-15.5133,-16.8332,26.5079,4.4018,16.3546,7096.5716,3.89401,42.9252,5.46561,3671.68,6985.7693,7026.964,-24.5369,0.076191
33571.2,26891.1,111331,24822.8,22252.1,83626.7,4.90642,46.0002,-0.465902,74.4301,-17.2655,167.728,57.7505,-6.97216,7158.064,16.9017,4.66699,-8.70526,4707.59,6973.4395,7001.60302,-20.1314,0.0886686
36426.8,35118.8,104807,13164.8,12994.3,70098.1,9.20072,4.59701,2.98993,18.821,-9.94577,-12.4806,-37.7057,1.4354,7045.2924,-10.8042,-3.09055,16.0383,4104.74,7009.93023,7002.80772,-6.27622,0.10238
46827.3,43191.2,112259,8951.25,8600.2,66287.6,-19.3439,-16.9054,40.0099,-108.882,-12.4652,136.332,40.8791,21.5943,7018.9645,-55.7219,-42.68,30.8314,5656.87,6998.04343,6995.27262,5.66912,0.159852
50978.6,43996.7,115609,16210.5,14540.1,77160.2,-44.7166,-30.1164,-25.9847,-21.7659,-3.19898,558.149,99.1916,-4.65308,7020.9884,-23.3671,11.8355,7.49691,5553.56,6900.9319,6987.8213,28.4997,0.175149
41760.5,38098.1,111106,7909.83,7664.55,62745.3,-39.6816,8.28725,5.99575,-137.496,-78.7404,4.83354,123.907,11.9851,7011.2341,-36.8126,-68.8403,-13.91,15258.4,6991.88817,6989.0095,16.2259,0.192241
39026.7,36074.2,108052,8494.28,8329.29,63529.3,21.6008,-6.70524,-9.59158,-30.3608,-0.987003,109.648,36.5254,19.1076,7028.5545,-37.9098,24.9002,-8.339,4413.76,7005.89337,6968.04,26.387,0.195189
31656.4,28568.3,107523,11169.7,10570.3,69749.7,50.6657,-10.7129,-33.1058,12.7417,19.7565,140.052,0.189469,8.6607,7043.9061,49.8259,19.5112,-3.69453,2183.04,6992.25192,7020.7584,-1.93958,0.19767
36093.2,32503.7,107998,8492.97,8017.1,64338.1,24.0104,12.2741,-7.13495,-88.3034,-0.169305,40.6334,22.4394,43.6838,6958.3569,-36.5378,-40.8768,-23.0211,11590.9,7000.124225,7004.19666,49.3621,0.208136
33815.5,34154.6,100801,22903.5,22624.7,78961,-15.2593,16.8834,-33.9155,71.9025,-37.1163,1285.99,148.298,-3.41929,7595.219,276.823,102.172,25.5513,2609.67,6821.57,6999.888152,13.486,0.232951
46518.7,41135.2,111822,15460.8,14564.8,76672.3,-19.793,3.78057,42.7756,-7.1386,-0.883568,112.168,10.8415,3.18792,7050.3192,28.7447,14.8653,-14.3168,3403.94,6997.97149,6989.154,-3.39126,0.235524
38344.9,32384.6,112194,9250.18,8476.22,67409.3,14.5209,4.76016,-6.91177,-56.0014,-4.80591,208.927,57.6365,-25.1839,6998.80348,-35.091,2.58835,-16.6951,7051.48,6972.139,6993.96613,2.78043,0.270548
35624.8,33303.6,104507,17429,17318.6,73040.7,12.8548,1.2656,8.30748,50.2576,-9.59343,62.9076,49.3479,-1.14064,7052.5617,72.281,-39.2764,6.59849,2448.32,7024.1646,6999.08483,21.7183,0.274695
21192.9,20155.2,96741.3,9563.31,8933.65,69014.8,14.076,65.5057,-22.8865,69.2679,-12.3337,84.1665,2.37614,-5.09958,7041.8659,-63.0378,19.9326,-35.5006,1709.69,6987.2366,6993.67878,10.5386,0.283746
