"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
77043.2,60934.8,134924,19415.7,16163.3,88249.2,268.531,11993.9,411.539,390.992,1787.72,1087.38,1714.15,7538.81,146.117,172.58,326.946,2640.14,56.1922,199.472,139.948,1540.15,6.18936
56440.1,47467.9,125466,14719.4,12734.2,80183.2,171.531,9280.77,697.934,375.896,8319.23,282.912,1157.74,5684.31,427.444,505.322,281.21,1835.06,94.9955,149.479,-90.8027,-62.5448,7.08543
56066.2,46295.3,127365,13871,11773.3,80779.5,641.061,17881.5,372.025,264.843,1664.99,381.765,185.854,6448.99,335.889,102.022,71.0034,855.469,64.371,-111.844,205.72,142.5,7.5881
57468.9,47852,127606,12103.9,10105,80507.6,-47.8668,9680.35,473.424,681.272,2503.01,142.393,424.64,9239.86,364.508,215.711,183.027,1944.13,28.3035,330.267,-8.25578,577.252,8.42538
55733.9,45765.2,126763,13350.5,11212,81520.8,85.4099,13339.3,508.639,675.082,4337.05,631.11,35.8547,4326.74,266.94,229.087,261.479,1987.93,16.3996,-163.912,153.615,3.67648,8.60825
48585.1,40444.1,124535,9821.14,8348.73,76057.7,-92.1365,2389.55,340.721,435.63,5993.24,197.845,387.931,3099.71,447.667,17.9423,122.28,487.108,64.0197,157.745,-62.2008,2.77697,9.70415
49622,43335.5,121209,7516.24,6487.37,69184.2,1056.14,5433.92,373.767,475.092,3111.37,779.648,1992.82,2171.11,52.558,26.9987,142.478,1568.36,26.3542,-255.301,150.15,-64.6101,9.88964
69974.7,56794.1,132238,11941.5,9772.33,81671.2,453.259,8090.79,766.279,992.392,3567.58,526.591,2955.16,5249,314.126,74.2505,227.589,4172.11,108.692,-27.2636,237.67,119.633,11.3711
51446.3,43378.6,124127,9385.99,7992.95,74472,1160.17,6010.25,505.733,319.811,3201.72,594.11,3175.32,680.201,248.413,-25.131,270.06,828.448,16.3162,-82.0411,-45.4957,-292.446,11.6624
54834.3,47118.6,125658,10079,8485.24,76106.3,14072.3,15126.2,1806.23,1906.16,615.923,729.758,1227.36,6147.33,324.854,10265.5,340.65,7267.27,165.588,-80.9267,91.5079,-942.746,11.85
39936.3,33703.6,117175,8765.62,7527.22,71581.8,124.145,5240.4,466.398,517.505,3868.72,-266.229,975.868,3239.27,186.355,85.3863,70.491,1592.77,66.3125,46.5599,494.312,-11.305,12.5754
